 # k         Erhorho   E11       E22       E33       Erhou1    
---------------------------------------------------------------
       179  0.29701030477580E-09  0.21971029107200E-07  0.21141507072340E-07  0.21041166876070E-07  0.23058710283220E-09
       180  0.28973280456350E-09  0.21275939955410E-07  0.20390959602210E-07  0.20263910828470E-07  0.22798279110650E-09
       181  0.28127143293050E-09  0.20488043163700E-07  0.19760568492600E-07  0.19595867611200E-07  0.21487084996850E-09
       182  0.27256640216870E-09  0.19757291754510E-07  0.19036656944840E-07  0.18954047340300E-07  0.20499327680540E-09
       183  0.26485226724780E-09  0.19045748419420E-07  0.18337819751510E-07  0.18285794865960E-07  0.19935705266090E-09
       184  0.25705484694300E-09  0.18502834414880E-07  0.17622408415870E-07  0.17626487380220E-07  0.20027970436350E-09
       185  0.24971617071460E-09  0.17868967561460E-07  0.17163196230700E-07  0.16953240896190E-07  0.19572749857460E-09
       186  0.24348364351350E-09  0.17224647869900E-07  0.16480819462040E-07  0.16413362261600E-07  0.18210192798500E-09
       187  0.23605735548610E-09  0.16571623503280E-07  0.15868055801650E-07  0.15827344831090E-07  0.18100846880450E-09
       188  0.22860870030460E-09  0.16051681996380E-07  0.15398315605900E-07  0.15262034441990E-07  0.17533662589030E-09
       189  0.22299408911570E-09  0.15472870000390E-07  0.14901468566650E-07  0.14727301812000E-07  0.16474611240910E-09
       190  0.21629219543780E-09  0.14971182363300E-07  0.14349968252100E-07  0.14268576743850E-07  0.16773772837160E-09
       191  0.21110115666850E-09  0.14420589711930E-07  0.13831829877490E-07  0.13693912695410E-07  0.15621327092800E-09
       192  0.20494093063500E-09  0.13877352251000E-07  0.13377213458330E-07  0.13273033510690E-07  0.15894060250910E-09
       193  0.19852593117400E-09  0.13437299527760E-07  0.12866773459760E-07  0.12820136675560E-07  0.14855682468160E-09
       194  0.19315078748670E-09  0.12976269550960E-07  0.12406882268100E-07  0.12423413789590E-07  0.14220969645800E-09
       195  0.18738001801760E-09  0.12550125975980E-07  0.12078621061830E-07  0.11953018788040E-07  0.13966300735670E-09
       196  0.18206846419980E-09  0.12128851657050E-07  0.11621911641710E-07  0.11524125029740E-07  0.13590138857290E-09
       197  0.17804072269610E-09  0.11693551919180E-07  0.11232875372320E-07  0.11168999181150E-07  0.13372195762430E-09
       198  0.17198085685520E-09  0.11329736154160E-07  0.10831337774020E-07  0.10788792445350E-07  0.13055892106890E-09
       199  0.16758457213350E-09  0.10927851132210E-07  0.10452135892120E-07  0.10430342871110E-07  0.12631588957610E-09
       200  0.16270947731830E-09  0.10578904241670E-07  0.10088055137110E-07  0.10048551771760E-07  0.12165650575900E-09
       201  0.15837971970440E-09  0.10151723152000E-07  0.97918298914450E-08  0.97077990182650E-08  0.11322044132310E-09
       202  0.15373732660040E-09  0.98732800644270E-08  0.94767474103860E-08  0.94098394867020E-08  0.11698858171260E-09
       203  0.14914529693830E-09  0.95490046758550E-08  0.91412662159740E-08  0.91224410257450E-08  0.10997078778280E-09
       204  0.14494611195360E-09  0.91765759486250E-08  0.88415524329990E-08  0.87465388965250E-08  0.10705334278820E-09
       205  0.14105574224250E-09  0.88941513287260E-08  0.85203287268950E-08  0.84922193625530E-08  0.10407576476230E-09
       206  0.13703519379800E-09  0.85787638329910E-08  0.82105841671280E-08  0.81684401032990E-08  0.10265513573330E-09
       207  0.13334925216170E-09  0.82876249317070E-08  0.79602881370900E-08  0.79028055398240E-08  0.98560396881040E-10
       208  0.12958644506440E-09  0.80379485137190E-08  0.76875280490750E-08  0.76650498197470E-08  0.96049472006320E-10
       209  0.12589041611790E-09  0.77630482050670E-08  0.74388956222450E-08  0.74106135898550E-08  0.92367268876680E-10
       210  0.12260138869240E-09  0.74855493364260E-08  0.71700203224860E-08  0.71142627578940E-08  0.87075812967400E-10
       211  0.11908492855890E-09  0.72684207131170E-08  0.69450810018900E-08  0.69166201868450E-08  0.88552488871770E-10
       212  0.11607868927910E-09  0.70217238908770E-08  0.67081048374510E-08  0.66500918229080E-08  0.86931719205380E-10
       213  0.11234490071170E-09  0.67871810645510E-08  0.64761215957290E-08  0.64458923809970E-08  0.81485761048240E-10
       214  0.10911585838500E-09  0.65500507190180E-08  0.62542775453370E-08  0.62740934401290E-08  0.80612368467250E-10
       215  0.10621455040210E-09  0.63234588747940E-08  0.60845559572730E-08  0.60106314900150E-08  0.78682236277360E-10
       216  0.10358962828200E-09  0.61325214535940E-08  0.58724375434480E-08  0.58416549986540E-08  0.75393161714240E-10
       217  0.10071872177140E-09  0.59152338093440E-08  0.56469708385280E-08  0.56498569841250E-08  0.73364296671440E-10
       218  0.97682932151920E-10  0.57345005941040E-08  0.54784734852650E-08  0.54653049507040E-08  0.70406482339070E-10
       219  0.95097968734470E-10  0.55506885034470E-08  0.52924828895480E-08  0.52845698306550E-08  0.68475730836250E-10
       220  0.92193306554770E-10  0.53605807590440E-08  0.51256387714690E-08  0.51062859755040E-08  0.66562500583030E-10
       221  0.89684529223610E-10  0.52082333143110E-08  0.49812401309730E-08  0.49290521976040E-08  0.62546467940490E-10
       222  0.87628902249840E-10  0.50142108584080E-08  0.48149172357410E-08  0.47719334901090E-08  0.65386673580940E-10
       223  0.84963680536640E-10  0.48620116280770E-08  0.46395619459700E-08  0.46193634883860E-08  0.61596200870170E-10
       224  0.82414400196480E-10  0.46977405247510E-08  0.44936050447560E-08  0.44691632188280E-08  0.61234517831100E-10
       225  0.80222957761140E-10  0.45309720653050E-08  0.43234539961310E-08  0.43245317122930E-08  0.58479474346330E-10
       226  0.78107892879210E-10  0.43941676374310E-08  0.41827170617050E-08  0.41781445270210E-08  0.56591420932450E-10
       227  0.75636306802920E-10  0.42617570377780E-08  0.40615063956720E-08  0.40557009522400E-08  0.55578203037730E-10
       228  0.73770272578070E-10  0.41122702976160E-08  0.39364751560490E-08  0.39025875122530E-08  0.52557496660900E-10
       229  0.71731915269150E-10  0.39763748600590E-08  0.38073672675470E-08  0.37913613284250E-08  0.52817279312660E-10
       230  0.69609563584830E-10  0.38514691793890E-08  0.36770930923100E-08  0.36542980298990E-08  0.50693603581240E-10
       231  0.67822565511890E-10  0.37264278519880E-08  0.35535795735350E-08  0.35433995758300E-08  0.48676537101170E-10
       232  0.65633208182310E-10  0.36132358849660E-08  0.34514305286710E-08  0.34299210792680E-08  0.46857128317230E-10
       233  0.63795384843610E-10  0.34947363593920E-08  0.33255840279160E-08  0.33145286048740E-08  0.46218681563490E-10
