     kz              E+_uu           E+_vv           E+_ww           E+_pp
  1.0200000e+02   6.8952815e-03   2.3510491e-03   1.4234479e-03   8.9311151e-03
  1.0266667e+02   6.7969870e-03   2.3238737e-03   1.3952791e-03   8.7628771e-03
  1.0333333e+02   6.6869383e-03   2.2894061e-03   1.3648114e-03   8.6250024e-03
  1.0400000e+02   6.5405160e-03   2.2509576e-03   1.3413764e-03   8.4935285e-03
  1.0466667e+02   6.3830877e-03   2.2355483e-03   1.3134392e-03   8.3447790e-03
  1.0533333e+02   6.3327868e-03   2.1954650e-03   1.2853131e-03   8.1819745e-03
  1.0600000e+02   6.2205970e-03   2.1655000e-03   1.2620254e-03   8.0755822e-03
  1.0666667e+02   6.0847699e-03   2.1299809e-03   1.2339662e-03   7.9083741e-03
  1.0733333e+02   5.9816139e-03   2.1079941e-03   1.2157340e-03   7.8033542e-03
  1.0800000e+02   5.8628863e-03   2.0896904e-03   1.1797938e-03   7.6935767e-03
  1.0866667e+02   5.8175671e-03   2.0446800e-03   1.1672462e-03   7.5281980e-03
  1.0933333e+02   5.7030857e-03   2.0265950e-03   1.1423602e-03   7.3163319e-03
  1.1000000e+02   5.6174742e-03   1.9932939e-03   1.1188455e-03   7.2613789e-03
  1.1066667e+02   5.4678455e-03   1.9527724e-03   1.0954453e-03   7.1010036e-03
  1.1133333e+02   5.4061422e-03   1.9233695e-03   1.0713306e-03   7.0354880e-03
  1.1200000e+02   5.3319591e-03   1.9124363e-03   1.0585271e-03   6.8736209e-03
  1.1266667e+02   5.2506673e-03   1.8810090e-03   1.0339074e-03   6.7997482e-03
  1.1333333e+02   5.1589404e-03   1.8495606e-03   1.0172996e-03   6.6725625e-03
  1.1400000e+02   5.0344485e-03   1.8228964e-03   9.9553859e-04   6.5375545e-03
  1.1466667e+02   4.9993000e-03   1.8039949e-03   9.7296491e-04   6.4538196e-03
  1.1533333e+02   4.8889572e-03   1.7731231e-03   9.5715687e-04   6.3032931e-03
  1.1600000e+02   4.8297460e-03   1.7333083e-03   9.3996093e-04   6.2356689e-03
  1.1666667e+02   4.7436028e-03   1.7222798e-03   9.2083774e-04   6.1129339e-03
  1.1733333e+02   4.6614795e-03   1.7028503e-03   9.0331200e-04   6.0406000e-03
  1.1800000e+02   4.5894842e-03   1.6776621e-03   8.8248957e-04   5.9060127e-03
  1.1866667e+02   4.4900191e-03   1.6527690e-03   8.6733884e-04   5.7847428e-03
  1.1933333e+02   4.4405281e-03   1.6281024e-03   8.4842765e-04   5.7199203e-03
  1.2000000e+02   4.3625515e-03   1.6022247e-03   8.3229281e-04   5.6039772e-03
  1.2066667e+02   4.2697836e-03   1.5770873e-03   8.1661274e-04   5.4809945e-03
  1.2133333e+02   4.1993748e-03   1.5558666e-03   8.0215334e-04   5.4324442e-03
  1.2200000e+02   4.1477032e-03   1.5364040e-03   7.8940623e-04   5.3123434e-03
  1.2266667e+02   4.0441508e-03   1.5080482e-03   7.6831930e-04   5.2112575e-03
  1.2333333e+02   4.0127730e-03   1.4931282e-03   7.5889156e-04   5.1495062e-03
  1.2400000e+02   3.9494645e-03   1.4687294e-03   7.4502377e-04   5.0618007e-03
  1.2466667e+02   3.9077629e-03   1.4516169e-03   7.2912808e-04   4.9664188e-03
  1.2533333e+02   3.8173525e-03   1.4229724e-03   7.1444282e-04   4.9027591e-03
  1.2600000e+02   3.7688197e-03   1.4118816e-03   7.0301909e-04   4.8119379e-03
  1.2666667e+02   3.7158108e-03   1.3856479e-03   6.9005202e-04   4.7063425e-03
  1.2733333e+02   3.6568670e-03   1.3707236e-03   6.7626654e-04   4.6447822e-03
  1.2800000e+02   3.5845737e-03   1.3489916e-03   6.6313058e-04   4.5722274e-03
  1.2866667e+02   3.5470559e-03   1.3356345e-03   6.5107765e-04   4.4917381e-03
  1.2933333e+02   3.4831754e-03   1.3134897e-03   6.4016524e-04   4.4099629e-03
  1.3000000e+02   3.4250392e-03   1.2999094e-03   6.2826466e-04   4.3553478e-03
  1.3066667e+02   3.3665933e-03   1.2757882e-03   6.1776530e-04   4.2707077e-03
  1.3133333e+02   3.3208623e-03   1.2492182e-03   6.0568892e-04   4.2096439e-03
  1.3200000e+02   3.2703325e-03   1.2416048e-03   5.9373757e-04   4.1274099e-03
  1.3266667e+02   3.2069511e-03   1.2199804e-03   5.8381508e-04   4.0415222e-03
  1.3333333e+02   3.1833821e-03   1.2085474e-03   5.7511491e-04   3.9806081e-03
  1.3400000e+02   3.1182162e-03   1.1903132e-03   5.6419808e-04   3.9350791e-03
  1.3466667e+02   3.0752808e-03   1.1708277e-03   5.5136498e-04   3.8432343e-03
  1.3533333e+02   3.0161254e-03   1.1548562e-03   5.4312732e-04   3.7897461e-03
  1.3600000e+02   2.9705633e-03   1.1410579e-03   5.3247317e-04   3.7080435e-03
  1.3666667e+02   2.9347233e-03   1.1272486e-03   5.2342753e-04   3.6607015e-03
  1.3733333e+02   2.8882522e-03   1.1062259e-03   5.1292170e-04   3.6071455e-03
  1.3800000e+02   2.8446421e-03   1.0882549e-03   5.0364399e-04   3.5438644e-03
  1.3866667e+02   2.7973367e-03   1.0719550e-03   4.9248159e-04   3.4824494e-03
  1.3933333e+02   2.7631663e-03   1.0583434e-03   4.8528121e-04   3.4090316e-03
  1.4000000e+02   2.7202162e-03   1.0420402e-03   4.7778378e-04   3.3764874e-03
  1.4066667e+02   2.6702389e-03   1.0299268e-03   4.6917423e-04   3.3027726e-03
  1.4133333e+02   2.6411324e-03   1.0115423e-03   4.6128942e-04   3.2498314e-03
  1.4200000e+02   2.5898462e-03   1.0031660e-03   4.5088591e-04   3.2159922e-03
  1.4266667e+02   2.5519198e-03   9.8736697e-04   4.4441963e-04   3.1464864e-03
  1.4333333e+02   2.5207674e-03   9.7049264e-04   4.3363221e-04   3.0974964e-03
  1.4400000e+02   2.4818656e-03   9.5452174e-04   4.2986177e-04   3.0458833e-03
  1.4466667e+02   2.4479173e-03   9.4709583e-04   4.2181884e-04   2.9943142e-03
  1.4533333e+02   2.4111192e-03   9.3007771e-04   4.1387285e-04   2.9543132e-03
  1.4600000e+02   2.3788305e-03   9.1737573e-04   4.0513782e-04   2.8969839e-03
  1.4666667e+02   2.3361929e-03   9.0550167e-04   3.9873247e-04   2.8325507e-03
  1.4733333e+02   2.2985280e-03   8.8787702e-04   3.9161245e-04   2.7932108e-03
  1.4800000e+02   2.2797360e-03   8.7917824e-04   3.8601657e-04   2.7578066e-03
  1.4866667e+02   2.2381388e-03   8.7001503e-04   3.7938452e-04   2.7104628e-03
  1.4933333e+02   2.2087239e-03   8.5779963e-04   3.7299843e-04   2.6606501e-03
  1.5000000e+02   2.1673913e-03   8.4084616e-04   3.6566823e-04   2.6200223e-03
