     kx              E+_uu           E+_vv           E+_ww           E+_pp
  3.6000000e+01   5.2179000e-03   1.6497498e-03   3.6902289e-03   2.1253303e-02
  3.6250000e+01   5.1238284e-03   1.6296541e-03   3.6500310e-03   2.0855533e-02
  3.6500000e+01   5.0583302e-03   1.6131849e-03   3.6524623e-03   2.0750587e-02
  3.6750000e+01   5.0016870e-03   1.6020831e-03   3.5575795e-03   2.0445007e-02
  3.7000000e+01   4.9330299e-03   1.5842843e-03   3.5415249e-03   2.0286005e-02
  3.7250000e+01   4.8517669e-03   1.5748787e-03   3.4580712e-03   2.0053531e-02
  3.7500000e+01   4.7610413e-03   1.5459479e-03   3.4504475e-03   1.9828620e-02
  3.7750000e+01   4.7244678e-03   1.5504933e-03   3.3885291e-03   1.9689321e-02
  3.8000000e+01   4.6457043e-03   1.5306416e-03   3.3549003e-03   1.9588193e-02
  3.8250000e+01   4.5665655e-03   1.5106601e-03   3.3337005e-03   1.9347105e-02
  3.8500000e+01   4.4937234e-03   1.4997526e-03   3.2924430e-03   1.9205772e-02
  3.8750000e+01   4.4385942e-03   1.4884251e-03   3.2677299e-03   1.8900939e-02
  3.9000000e+01   4.3842439e-03   1.4783203e-03   3.2097975e-03   1.8745437e-02
  3.9250000e+01   4.3130497e-03   1.4671176e-03   3.1931000e-03   1.8574943e-02
  3.9500000e+01   4.2380533e-03   1.4574116e-03   3.1575028e-03   1.8450271e-02
  3.9750000e+01   4.1914374e-03   1.4416977e-03   3.1243454e-03   1.8125154e-02
  4.0000000e+01   4.1420072e-03   1.4240052e-03   3.0703783e-03   1.7946163e-02
  4.0250000e+01   4.0793392e-03   1.4104229e-03   3.0332874e-03   1.7896460e-02
  4.0500000e+01   4.0561987e-03   1.4029003e-03   3.0373657e-03   1.7736532e-02
  4.0750000e+01   3.9887837e-03   1.3910993e-03   2.9746733e-03   1.7471539e-02
  4.1000000e+01   3.9115999e-03   1.3685046e-03   2.9417040e-03   1.7298872e-02
  4.1250000e+01   3.8805391e-03   1.3677570e-03   2.8830297e-03   1.7201662e-02
  4.1500000e+01   3.8050946e-03   1.3511993e-03   2.8668331e-03   1.6879405e-02
  4.1750000e+01   3.7681144e-03   1.3386496e-03   2.8294147e-03   1.6727249e-02
  4.2000000e+01   3.7018331e-03   1.3298844e-03   2.8125122e-03   1.6828514e-02
  4.2250000e+01   3.6415369e-03   1.3167046e-03   2.7635294e-03   1.6629789e-02
  4.2500000e+01   3.5933584e-03   1.3100251e-03   2.7336260e-03   1.6263183e-02
  4.2750000e+01   3.5485910e-03   1.2971370e-03   2.6918905e-03   1.6156560e-02
  4.3000000e+01   3.5128985e-03   1.2906053e-03   2.6622784e-03   1.6145901e-02
  4.3250000e+01   3.4588215e-03   1.2734270e-03   2.6407175e-03   1.5881184e-02
  4.3500000e+01   3.4069559e-03   1.2675560e-03   2.6118075e-03   1.5767817e-02
  4.3750000e+01   3.3684212e-03   1.2515167e-03   2.6122079e-03   1.5610215e-02
  4.4000000e+01   3.2956116e-03   1.2387941e-03   2.5452580e-03   1.5330761e-02
  4.4250000e+01   3.2477607e-03   1.2312855e-03   2.5122141e-03   1.5186569e-02
  4.4500000e+01   3.2193194e-03   1.2174850e-03   2.4836011e-03   1.5191342e-02
  4.4750000e+01   3.1806266e-03   1.2053281e-03   2.4790356e-03   1.4912933e-02
  4.5000000e+01   3.1590534e-03   1.2010284e-03   2.4469956e-03   1.4765114e-02
  4.5250000e+01   3.0991185e-03   1.1924457e-03   2.4104862e-03   1.4741492e-02
  4.5500000e+01   3.0401728e-03   1.1773903e-03   2.3850657e-03   1.4505452e-02
  4.5750000e+01   3.0162223e-03   1.1618020e-03   2.3523499e-03   1.4381218e-02
  4.6000000e+01   2.9812613e-03   1.1524890e-03   2.3396863e-03   1.4200204e-02
  4.6250000e+01   2.9306714e-03   1.1540150e-03   2.3121589e-03   1.4091025e-02
  4.6500000e+01   2.8958525e-03   1.1369031e-03   2.2868733e-03   1.3850369e-02
  4.6750000e+01   2.8629186e-03   1.1271560e-03   2.2614505e-03   1.3823771e-02
  4.7000000e+01   2.8078308e-03   1.1165567e-03   2.2192504e-03   1.3639803e-02
