Time	Kin Energy	Mag Energy	Kin Dissip	Mag Dissip	Cross-Hel	Mag-Hel
0.5575	0.077137641	0.085356582	0.011171411	0.022149799	0.0015345105	-0.00072139937
0.56	0.077136573	0.08535331	0.011171191	0.022148816	0.0015335809	-0.00072137467
0.5625	0.077135508	0.085350047	0.011170966	0.022147829	0.0015326496	-0.00072135042
0.565	0.077134448	0.085346783	0.011170736	0.022146837	0.0015317128	-0.00072132559
0.5675	0.07713339	0.085343528	0.011170502	0.022145838	0.0015307782	-0.0007213012
0.57	0.077132342	0.085340278	0.011170265	0.022144833	0.0015298433	-0.0007212769
0.5725	0.07713128	0.085337029	0.011170022	0.022143822	0.0015289079	-0.00072125213
0.575	0.077130229	0.085333783	0.011169774	0.022142807	0.0015279747	-0.00072122766
0.5775	0.077129181	0.085330546	0.01116952	0.022141789	0.0015270443	-0.00072120358
0.58	0.077128127	0.085327307	0.011169259	0.022140766	0.0015261138	-0.00072117943
0.5825	0.077127072	0.085324072	0.011168992	0.022139739	0.0015251894	-0.00072115462
0.585	0.077126011	0.085320845	0.01116872	0.022138707	0.0015242637	-0.00072113005
0.5875	0.077124953	0.08531762	0.011168442	0.022137669	0.0015233333	-0.00072110566
0.59	0.077123889	0.0853144	0.01116816	0.022136626	0.0015223988	-0.00072108117
0.5925	0.077122824	0.085311185	0.011167872	0.022135578	0.0015214541	-0.00072105577
0.595	0.077121768	0.085307972	0.011167578	0.022134527	0.0015205141	-0.00072103103
0.5975	0.077120708	0.085304763	0.011167278	0.022133472	0.0015195665	-0.00072100561
0.6	0.077119654	0.085301565	0.011166972	0.022132413	0.0015186184	-0.00072098172
0.6025	0.077118606	0.085298365	0.011166661	0.022131349	0.0015176781	-0.0007209578
0.605	0.077117564	0.085295173	0.011166344	0.022130282	0.001516746	-0.00072093377
0.6075	0.077116524	0.085291987	0.011166021	0.02212921	0.0015158163	-0.00072091051
0.61	0.077115486	0.0852888	0.011165694	0.022128134	0.0015148826	-0.00072088587
0.6125	0.077114447	0.085285618	0.011165362	0.022127052	0.0015139572	-0.00072086066
0.615	0.077113411	0.085282442	0.011165025	0.022125966	0.0015130315	-0.000720835
0.6175	0.07711238	0.085279272	0.011164682	0.022124879	0.0015121008	-0.00072080951
0.62	0.077111352	0.085276104	0.011164332	0.02212379	0.0015111666	-0.00072078413
0.6225	0.077110323	0.085272937	0.011163975	0.022122698	0.0015102301	-0.00072075969
0.625	0.077109277	0.085269779	0.011163613	0.022121605	0.0015092973	-0.00072073488
0.6275	0.077108231	0.085266625	0.011163245	0.02212051	0.0015083568	-0.00072071074
0.63	0.077107181	0.085263478	0.011162872	0.022119411	0.0015074148	-0.00072068586
0.6325	0.077106132	0.085260329	0.011162494	0.022118309	0.0015064727	-0.0007206612
0.635	0.077105087	0.08525719	0.011162109	0.022117206	0.001505537	-0.00072063624
0.6375	0.077104042	0.085254053	0.011161719	0.022116099	0.0015046025	-0.00072061191
0.64	0.077102994	0.085250914	0.011161325	0.022114989	0.0015036658	-0.00072058709
0.6425	0.077101942	0.085247789	0.011160926	0.022113875	0.0015027324	-0.00072056259
0.645	0.077100897	0.085244663	0.011160523	0.022112757	0.0015018024	-0.00072053761
0.6475	0.077099869	0.085241547	0.011160117	0.022111636	0.0015008773	-0.00072051326
0.65	0.077098829	0.085238431	0.011159705	0.022110512	0.0014999512	-0.00072048927
0.6525	0.077097797	0.08523532	0.011159288	0.022109384	0.0014990177	-0.00072046529
0.655	0.077096764	0.085232212	0.011158866	0.022108255	0.0014980826	-0.00072044089
0.6575	0.077095721	0.085229114	0.011158441	0.022107121	0.0014971454	-0.00072041624
0.66	0.077094672	0.085226009	0.011158011	0.022105985	0.0014962084	-0.00072039143
0.6625	0.077093637	0.085222915	0.011157575	0.022104846	0.0014952788	-0.00072036673
0.665	0.077092598	0.085219828	0.011157134	0.022103707	0.0014943475	-0.00072034196
0.6675	0.077091558	0.085216741	0.011156688	0.022102566	0.0014934169	-0.00072031753
0.67	0.077090531	0.085213657	0.011156236	0.022101425	0.0014924804	-0.00072029316
0.6725	0.077089512	0.085210578	0.011155779	0.022100283	0.0014915492	-0.00072026888
0.675	0.077088491	0.085207505	0.011155316	0.022099141	0.0014906112	-0.00072024441
0.6775	0.07708746	0.085204439	0.01115485	0.022097997	0.0014896712	-0.00072021985
0.68	0.077086441	0.085201372	0.01115438	0.022096852	0.0014887277	-0.00072019489
0.6825	0.077085407	0.085198308	0.011153904	0.022095708	0.0014877863	-0.0007201704
0.685	0.077084381	0.085195249	0.011153422	0.022094564	0.0014868396	-0.00072014537
0.6875	0.077083344	0.085192199	0.011152937	0.022093421	0.0014858954	-0.00072012025
0.69	0.077082319	0.085189145	0.011152447	0.022092277	0.0014849561	-0.00072009516
0.6925	0.077081315	0.085186098	0.011151954	0.022091134	0.0014840399	-0.00072007036
0.695	0.077080319	0.085183061	0.011151458	0.02208999	0.0014831283	-0.00072004613
0.6975	0.077079338	0.085180021	0.011150959	0.022088846	0.0014822156	-0.00072002209
0.7	0.077078354	0.085176983	0.011150457	0.0220877	0.0014812943	-0.00071999888
0.7025	0.077077363	0.085173956	0.011149954	0.022086552	0.0014803734	-0.00071997425
0.705	0.077076382	0.085170933	0.011149448	0.022085403	0.0014794528	-0.00071994967
0.7075	0.077075388	0.085167911	0.01114894	0.022084253	0.0014785367	-0.00071992503
0.71	0.077074395	0.085164893	0.011148432	0.022083101	0.0014776171	-0.00071990068
0.7125	0.077073411	0.085161875	0.011147923	0.022081947	0.0014767027	-0.00071987599
0.715	0.07707242	0.085158867	0.011147412	0.022080792	0.0014757894	-0.00071985108
0.7175	0.077071429	0.085155857	0.011146899	0.022079635	0.0014748809	-0.00071982638
0.72	0.077070431	0.085152857	0.011146384	0.022078478	0.0014739624	-0.00071980078
0.7225	0.077069452	0.085149853	0.011145867	0.022077318	0.0014730459	-0.00071977617
0.725	0.077068463	0.08514686	0.011145349	0.022076157	0.0014721274	-0.00071975221
0.7275	0.077067473	0.08514387	0.011144827	0.022074996	0.001471203	-0.00071972863
0.73	0.077066485	0.085140885	0.011144303	0.022073833	0.0014702816	-0.00071970515
0.7325	0.077065495	0.0851379	0.011143778	0.022072669	0.0014693572	-0.00071968116
0.735	0.077064519	0.085134923	0.01114325	0.022071503	0.0014684438	-0.00071965706
0.7375	0.077063533	0.085131948	0.011142722	0.022070336	0.0014675387	-0.00071963269
0.74	0.077062563	0.085128975	0.011142192	0.022069168	0.0014666322	-0.00071960855
0.7425	0.077061591	0.085126003	0.011141662	0.022067998	0.001465727	-0.0007195834
0.745	0.077060626	0.085123043	0.011141132	0.022066824	0.0014648221	-0.00071955794
0.7475	0.077059657	0.085120082	0.011140602	0.022065648	0.0014639294	-0.00071953334
0.75	0.077058786	0.085117425	0.011140123	0.022064587	0.0014631252	-0.00071951162
0.7525	0.077057725	0.085114177	0.011139537	0.022063288	0.0014621409	-0.00071948486
0.755	0.077056757	0.085111226	0.011139005	0.022062102	0.0014612428	-0.00071946037
0.7575	0.077055801	0.085108283	0.011138473	0.022060911	0.001460347	-0.00071943623
0.76	0.077054835	0.085105336	0.01113794	0.022059717	0.0014594477	-0.00071941175
0.7625	0.077053881	0.085102396	0.011137407	0.022058518	0.0014585497	-0.00071938709
0.765	0.077052929	0.085099464	0.011136874	0.022057313	0.0014576512	-0.00071936215
0.7675	0.077051978	0.085096533	0.011136342	0.0220561	0.0014567539	-0.00071933758
0.77	0.077051027	0.085093608	0.01113581	0.02205488	0.0014558671	-0.00071931312
0.7725	0.077050081	0.085090683	0.011135276	0.022053656	0.0014549834	-0.00071928779
0.775	0.077049133	0.085087761	0.011134741	0.022052426	0.0014540914	-0.00071926403
0.7775	0.0770482	0.085084848	0.011134207	0.022051189	0.0014532054	-0.00071924131
0.78	0.077047265	0.08508194	0.011133672	0.022049947	0.0014523192	-0.00071921846
0.7825	0.07704635	0.085079032	0.011133137	0.022048698	0.0014514348	-0.00071919563
0.785	0.077045429	0.085076124	0.011132603	0.022047441	0.0014505548	-0.00071917283
0.7875	0.077044507	0.085073224	0.011132072	0.022046173	0.0014496741	-0.00071914982
0.79	0.07704359	0.085070328	0.011131541	0.022044898	0.0014487953	-0.00071912631
0.7925	0.077042661	0.085067439	0.011131007	0.022043615	0.0014479194	-0.00071910246
